"","sampleNumber","clusterNumber","species","weight","year","qtr","calPort","portComplex","gearGroup","marketCategory","totalWeight","live"
"237","197800325",2,"OLVE",17,1978,2,"MNT","MNT","NET",253,8910,"N"
"238","197800325",2,"YTRK",7,1978,2,"MNT","MNT","NET",253,8910,"N"
"239","197800326",1,"BLUR",27,1978,2,"MNT","MNT","NET",253,8655,"N"
"240","197800326",1,"KLPG",2,1978,2,"MNT","MNT","NET",253,8655,"N"
"241","197800326",1,"OLVE",10,1978,2,"MNT","MNT","NET",253,8655,"N"
"242","197800326",1,"YTRK",3,1978,2,"MNT","MNT","NET",253,8655,"N"
"243","197800326",2,"BLUR",24,1978,2,"MNT","MNT","NET",253,8655,"N"
"244","197800326",2,"OLVE",22,1978,2,"MNT","MNT","NET",253,8655,"N"
"245","197800327",1,"BCAC",21,1978,2,"MNT","MNT","NET",250,2800,"N"
"246","197800327",1,"LCOD",2,1978,2,"MNT","MNT","NET",250,2800,"N"
"247","197800327",1,"SPKL",1,1978,2,"MNT","MNT","NET",250,2800,"N"
"248","197800327",1,"WDOW",4,1978,2,"MNT","MNT","NET",250,2800,"N"
"249","197800327",1,"YTRK",22,1978,2,"MNT","MNT","NET",250,2800,"N"
"250","197800327",2,"BCAC",28,1978,2,"MNT","MNT","NET",250,2800,"N"
"251","197800327",2,"LCOD",6,1978,2,"MNT","MNT","NET",250,2800,"N"
"252","197800327",2,"SPKL",1,1978,2,"MNT","MNT","NET",250,2800,"N"
"253","197800327",2,"YTRK",17,1978,2,"MNT","MNT","NET",250,2800,"N"
"254","197800328",1,"BCAC",15,1978,2,"MNT","MNT","NET",250,2790,"N"
"255","197800328",1,"LCOD",5,1978,2,"MNT","MNT","NET",250,2790,"N"
"256","197800328",1,"WDOW",15,1978,2,"MNT","MNT","NET",250,2790,"N"
"257","197800328",1,"YTRK",16,1978,2,"MNT","MNT","NET",250,2790,"N"
"258","197800328",2,"BCAC",11,1978,2,"MNT","MNT","NET",250,2790,"N"
"259","197800328",2,"SPKL",3,1978,2,"MNT","MNT","NET",250,2790,"N"
"260","197800328",2,"WDOW",20,1978,2,"MNT","MNT","NET",250,2790,"N"
"261","197800328",2,"YTRK",19,1978,2,"MNT","MNT","NET",250,2790,"N"
"262","197800329",1,"BCAC",35,1978,2,"MNT","MNT","TWL",253,18465,"N"
"263","197800329",1,"CLPR",12,1978,2,"MNT","MNT","TWL",253,18465,"N"
"264","197800329",2,"BCAC",33,1978,2,"MNT","MNT","TWL",253,18465,"N"
"265","197800329",2,"BLUR",2,1978,2,"MNT","MNT","TWL",253,18465,"N"
"266","197800329",2,"CLPR",15,1978,2,"MNT","MNT","TWL",253,18465,"N"
"267","197800330",1,"BCAC",16,1978,2,"MNT","MNT","NET",250,1950,"N"
"268","197800330",1,"SPKL",7,1978,2,"MNT","MNT","NET",250,1950,"N"
"269","197800330",1,"WDOW",10,1978,2,"MNT","MNT","NET",250,1950,"N"
"270","197800330",1,"YTRK",13,1978,2,"MNT","MNT","NET",250,1950,"N"
"271","197800330",2,"BCAC",31,1978,2,"MNT","MNT","NET",250,1950,"N"
"272","197800330",2,"SPKL",6,1978,2,"MNT","MNT","NET",250,1950,"N"
"273","197800330",2,"YTRK",8,1978,2,"MNT","MNT","NET",250,1950,"N"
"274","197800331",1,"LCOD",55,1978,2,"MNT","MNT","NET",195,1060,"N"
"275","197800331",2,"LCOD",60,1978,2,"MNT","MNT","NET",195,1060,"N"
"276","197800332",1,"BCAC",43,1978,2,"MNT","MNT","NET",253,8100,"N"
"277","197800332",1,"CNRY",5,1978,2,"MNT","MNT","NET",253,8100,"N"
"278","197800332",1,"WDOW",4,1978,2,"MNT","MNT","NET",253,8100,"N"
"279","197800332",2,"BCAC",40,1978,2,"MNT","MNT","NET",253,8100,"N"
"280","197800332",2,"LCOD",3,1978,2,"MNT","MNT","NET",253,8100,"N"
"281","197800332",2,"SPKL",3,1978,2,"MNT","MNT","NET",253,8100,"N"
"282","197800332",2,"WDOW",2,1978,2,"MNT","MNT","NET",253,8100,"N"
"283","197800333",1,"BCAC",21,1978,2,"MNT","MNT","TWL",253,5800,"N"
