marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
962,1997,1,TWL,MNT,URCK,N,31
247,1996,3,HKL,ERK,CNRY,N,5740
651,2000,3,HKL,MNT,OLVE,N,458
663,1993,2,TWL,OSF,SNOS,N,26
250,1993,3,HKL,OSB,BRWN,N,13
254,1996,2,HKL,BDG,WDOW,N,361
155,1994,4,NET,MRO,SHRK,N,3777
211,1995,4,TWL,BDG,DOVR,N,371002
195,1999,3,FPT,OSF,LCOD,N,28
250,1998,4,HKL,MRO,BYEL,N,1425
655,1995,4,HKL,MNT,COPP,N,4924
150,1998,2,NET,MNT,SHRK,N,728
250,1997,1,HKL,OSD,CLPR,N,2230
170,1995,1,TWL,OSB,URAY,N,100
960,1998,3,TWL,MRO,SNOS,N,1936
435,1995,4,HKL,OLA,OCRK,N,14686
678,1999,2,HKL,OLA,LSPN,N,1713
654,1997,3,TWL,OSF,GSRK,N,3
250,1996,1,HKL,ERK,CLPR,N,1732
175,1993,2,TWL,OSF,USKT,N,5608
269,1992,3,NET,OSF,SPKL,N,1363
250,1991,3,HKL,BDG,GSPT,N,579
261,2000,2,HKL,BDG,CBZN,N,849
957,1992,2,HKL,MRO,GSPT,N,55
961,1993,1,TWL,BRG,SNOS,N,10564
249,2001,2,HKL,OSD,VRML,N,603
250,1999,3,HKL,OSF,KLPR,N,30
152,1998,3,TWL,CRS,DSRK,N,347
251,1999,3,HKL,MNT,BYEL,N,240
659,1999,3,FPT,MNT,KLPR,N,7
960,1999,1,HKL,MNT,GPHR,N,190
959,1998,3,HKL,OSD,VRML,N,2406
250,1996,3,HKL,OLA,FLAG,N,266
678,1996,3,TWL,BRG,LSPN,N,268899
190,1992,2,TWL,CRS,SABL,N,198729
225,1995,1,HKL,OSB,UDAB,N,210
222,1993,4,HKL,MRO,CHLB,N,1643
974,2000,4,TWL,OSF,USLF,N,307
957,1991,1,HKL,OSF,COPP,N,3619
669,1998,3,HKL,OLA,SPKL,N,91
960,1997,2,NET,OSF,CWCD,N,15
667,1999,1,TWL,MNT,BLGL,N,296
250,1991,4,NET,OSD,STAR,N,9
250,1993,1,HKL,CRS,OLVE,N,3
253,1999,1,NET,OLA,BCAC,N,1186
667,1997,4,TWL,OSF,BLGL,N,4670
435,1993,2,TWL,MNT,OCRK,N,7604
960,1995,3,TWL,BRG,STAR,N,1
663,1998,2,HKL,BDG,CLPR,N,52
259,1996,1,FPT,OSF,YTRK,N,1004
225,1992,4,FPT,MNT,UDAB,N,20
435,1991,4,HKL,OSF,OCRK,N,7992
250,1991,3,TWL,OSF,CNRY,N,12008
261,2001,3,HKL,BDG,CBZN,N,452
252,1998,4,HKL,BRG,BDRK,N,229
974,2001,3,TWL,BRG,USLF,N,1131
151,1997,2,HKL,OLA,SHRK,N,400
250,1995,2,HKL,MRO,BCAC,N,29
959,1995,2,TWL,BDG,GSPT,N,1173
150,1992,4,NET,MNT,SHRK,N,889
959,1991,2,NET,MRO,YEYE,N,278
975,2000,3,HKL,ERK,STRK,N,118
959,1997,4,HKL,BDG,VRML,N,449
253,1996,3,HKL,OLA,BCAC,N,6291
152,1994,3,NET,OSF,DSRK,N,80
225,1993,3,TWL,OSB,UDAB,N,125
249,2000,2,HKL,ERK,VRML,N,831
207,2000,3,HKL,MNT,REX,N,65
269,1995,4,TWL,OSF,STRK,N,2833
960,1993,1,HKL,MRO,VRML,N,22
655,2000,2,FPT,CRS,COPP,N,6
679,1997,1,HKL,ERK,SSPN,N,2255
151,1999,1,NET,OSF,SHRK,N,26
267,1998,2,HKL,ERK,BRWN,N,4
190,2000,3,FPT,OSD,SABL,N,70
959,1997,4,TWL,OSB,URCK,N,473
975,2000,4,HKL,MNT,USLP,N,197
250,1996,3,NET,OSB,GSPT,N,127
151,1996,1,NET,OSD,SHRK,N,4021
254,1996,3,TWL,OSF,STRK,N,1561
200,1995,4,HKL,OSD,UFLT,N,43
254,1993,4,NET,MRO,CWCD,N,48
195,1995,2,HKL,BRG,LCOD,N,4461
250,1994,2,TWL,ERK,DBRK,N,64448
961,1991,2,TWL,BDG,BANK,N,1767
253,1996,3,HKL,OSF,BCAC,N,3431
667,1994,3,HKL,BDG,GPHR,N,37
262,1996,2,TWL,CRS,SSPN,N,202
259,1994,1,HKL,BRG,WDOW,N,453
290,1991,1,HKL,OSF,KLPG,N,98
222,1991,1,HKL,MNT,CHLB,N,55
961,1998,4,NET,OSF,SNOS,N,10371
153,1999,4,NET,MNT,LSRK,N,128
250,1999,3,NET,OSD,WDOW,N,6
959,1999,4,FPT,MNT,URCK,N,11
250,1999,3,TWL,BRG,POP,N,50
961,1999,3,TWL,MNT,CLPR,N,237
250,1991,3,TWL,MRO,SPKL,N,2367
959,1992,1,HKL,MRO,COPP,N,3956
250,1991,3,NET,OLA,CLPR,N,1219
250,2001,2,TWL,ERK,SRKR,N,47
960,1999,1,TWL,BDG,RSTN,N,49
250,1997,2,TWL,CRS,POP,N,33
254,1996,1,HKL,MRO,OLVE,N,100
262,1995,4,TWL,MNT,SSPN,N,1893
957,1991,3,HKL,OSF,QLBK,N,438
250,1991,3,NET,OLA,WDOW,N,12771
678,1998,1,TWL,BRG,LSPN,N,37921
959,1994,2,HKL,OSF,GSPT,N,5876
154,2000,3,HKL,ERK,SHRK,N,14
655,1995,3,HKL,CRS,COPP,N,6090
247,1995,3,HKL,MRO,CNRY,N,1
960,1996,4,HKL,OSF,FLAG,N,61
960,1995,4,TWL,OSF,CLPR,N,1528
207,1994,2,TWL,OSB,REX,N,111
