sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,live
199706056,2,SSPN,49,1997,3,BRG,TWL,679,N
199706057,1,BANK,4,1997,3,BRG,TWL,250,N
199706057,1,BLGL,8,1997,3,BRG,TWL,250,N
199706057,1,DBRK,32,1997,3,BRG,TWL,250,N
199706057,1,POP,3,1997,3,BRG,TWL,250,N
199706057,1,SNOS,3,1997,3,BRG,TWL,250,N
199706057,2,BANK,1,1997,3,BRG,TWL,250,N
199706057,2,BLGL,1,1997,3,BRG,TWL,250,N
199706057,2,CWCD,8,1997,3,BRG,TWL,250,N
199706057,2,DBRK,34,1997,3,BRG,TWL,250,N
199706057,2,POP,6,1997,3,BRG,TWL,250,N
199706058,1,CLPR,48,1997,3,BRG,TWL,250,N
199706058,1,SBLY,1,1997,3,BRG,TWL,250,N
199707003,1,WDOW,49,1997,1,ERK,MDT,269,N
199707003,2,WDOW,49,1997,1,ERK,MDT,269,N
199707004,1,CLPR,9,1997,1,ERK,TWL,960,N
199707004,1,DBRK,1,1997,1,ERK,TWL,960,N
199707004,1,GSRK,11,1997,1,ERK,TWL,960,N
199707004,1,REDS,1,1997,1,ERK,TWL,960,N
199707004,1,SHRP,1,1997,1,ERK,TWL,960,N
199707004,1,STRK,1,1997,1,ERK,TWL,960,N
199707004,2,CLPR,7,1997,1,ERK,TWL,960,N
199707004,2,DBRK,1,1997,1,ERK,TWL,960,N
199707004,2,GSRK,12,1997,1,ERK,TWL,960,N
199707004,2,SHRP,2,1997,1,ERK,TWL,960,N
199705044,2,SNOS,1,1997,4,BDG,TWL,250,N
199705045,1,BYEL,24,1997,4,BDG,HKL,962,N
199705046,1,GRAS,23,1997,4,BDG,HKL,652,N
199705047,1,CLPR,23,1997,4,BDG,TWL,960,N
199705047,1,GSPT,1,1997,4,BDG,TWL,960,N
199705047,1,SNOS,1,1997,4,BDG,TWL,960,N
199705047,1,STRK,1,1997,4,BDG,TWL,960,N
199705047,2,BLGL,3,1997,4,BDG,TWL,960,N
199705047,2,CLPR,24,1997,4,BDG,TWL,960,N
199705047,2,STRK,1,1997,4,BDG,TWL,960,N
199705048,1,CLPR,38,1997,4,BDG,TWL,250,N
199705048,1,CWCD,5,1997,4,BDG,TWL,250,N
199705048,1,GSRK,1,1997,4,BDG,TWL,250,N
199705048,1,SBLY,1,1997,4,BDG,TWL,250,N
199705048,1,SSPN,1,1997,4,BDG,TWL,250,N
199705048,1,STRK,1,1997,4,BDG,TWL,250,N
199705049,1,LSPN,24,1997,4,BDG,TWL,678,N
199705506,1,GPHR,10,1997,3,BDG,HKL,263,N
199705509,1,CHNA,8,1997,3,BDG,HKL,258,N
