sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,landingWeight,live
198128118,2,ARRA,23,1981,3,BRG,TWL,250,55,N
198128119,1,SNOS,39,1981,3,BRG,TWL,250,525,N
198128120,1,BCAC,40,1981,3,BRG,TWL,250,410,N
198128120,1,CLPR,11,1981,3,BRG,TWL,250,410,N
198128122,1,SNOS,22,1981,4,BRG,TWL,250,4710,N
198128123,1,SNOS,27,1981,4,BRG,TWL,250,7510,N
198128124,1,BCAC,50,1981,4,BRG,TWL,250,1945,N
198128126,1,BCAC,20,1981,4,BRG,TWL,250,22160,N
198128126,1,CLPR,38,1981,4,BRG,TWL,250,22160,N
198128127,1,BLGL,5,1981,4,BRG,TWL,250,10375,N
198128127,1,DBRK,33,1981,4,BRG,TWL,250,10375,N
198128127,1,SNOS,8,1981,4,BRG,TWL,250,10375,N
198128127,1,WDOW,5,1981,4,BRG,TWL,250,10375,N
198128128,1,ARRA,49,1981,4,BRG,TWL,250,910,N
198128128,1,SNOS,1,1981,4,BRG,TWL,250,910,N
198200046,1,BCAC,128,1982,1,MRO,HKL,250,2658,N
198200046,1,CLPR,84,1982,1,MRO,HKL,250,2658,N
198200046,1,SPKL,4,1982,1,MRO,HKL,250,2658,N
198200047,1,CNRY,41,1982,1,MRO,HKL,250,2434,N
198200047,1,GSPT,5,1982,1,MRO,HKL,250,2434,N
198200047,1,VRML,146,1982,1,MRO,HKL,250,2434,N
198200047,1,YEYE,26,1982,1,MRO,HKL,250,2434,N
198200054,1,GSPT,41,1982,1,MRO,HKL,250,1253,N
198200054,1,STAR,2,1982,1,MRO,HKL,250,1253,N
198200054,1,VRML,158,1982,1,MRO,HKL,250,1253,N
198200055,1,BCAC,120,1982,1,MRO,HKL,250,2692,N
